variant,seed,mask_seed,grid_index,n,accuracy,macro_f1,mae,pearson_r
T0,2026,5104,2,679,0.5036818851251841,0.4817641971605582,0.6870347252650535,0.4251009191898902
T0,2026,5104,3,679,0.5581737849779087,0.5261638544267042,0.6303695505251765,0.5628516758936704
T0,2026,5104,4,679,0.5567010309278351,0.528757879241138,0.6435970125475758,0.528454818310356
T0,2026,5104,5,679,0.49779086892488955,0.48923211414278056,0.6955547052077586,0.39846316569576773
T0,2026,5104,6,679,0.5419734904270986,0.5238923819723278,0.6337024447273611,0.5720534827228257
T0,2026,5104,7,679,0.4992636229749632,0.493869621333781,0.6654844568255022,0.4832966102801732
T0,2026,5104,8,679,0.47128129602356406,0.4582519022179051,0.6997880504654503,0.43094349317832226
T0,2026,5104,9,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,10,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,11,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,12,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,13,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,14,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,15,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,16,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,17,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,18,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,19,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,20,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,21,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,22,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,23,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,24,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,25,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,26,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,27,679,0.5714285714285714,0.5456434574755186,0.610681192557134,0.590478606432751
T0,2026,5104,28,679,0.5419734904270986,0.5216016114105286,0.6533934770697873,0.5038734810269594
T0,2026,5104,29,679,0.4992636229749632,0.4796627129522718,0.6890506328951803,0.41619367701929433
T0,2026,5104,30,679,0.5758468335787923,0.5532794160065677,0.6305798919149983,0.5666956936031594
T0,2026,5104,31,679,0.5434462444771723,0.5163689139039062,0.6630275537409382,0.48324197689852605
T0,2026,5104,32,679,0.49337260677466865,0.4869459768860227,0.6790971170688412,0.4617393320973274
T0,2026,5104,33,679,0.5787923416789397,0.5645845826643832,0.6226014783263031,0.5831881615901552
T0,2026,5104,34,679,0.508100147275405,0.4989731619028287,0.6626788780685728,0.5190158994241986
T0,2026,5104,35,679,0.46244477172312226,0.4577909911755158,0.6992047153446215,0.4356893419763545
T0,2026,5104,36,679,0.5773195876288659,0.5498483604405423,0.6144725983860918,0.5805391825143797
T0,2026,5104,37,679,0.5463917525773195,0.5185557940054173,0.6502782461920613,0.500726205009795
T0,2026,5104,38,679,0.5139911634756995,0.4959692658403045,0.6791243784689236,0.4391157406472346
T0,2026,5104,39,679,0.5743740795287187,0.5482297305090997,0.6315520551489098,0.5766672655834499
T0,2026,5104,40,679,0.5493372606774669,0.5242240144215631,0.6497228138576727,0.5325633317421637
T0,2026,5104,41,679,0.5066273932253313,0.5018413918622717,0.683932863603811,0.40714726059748746
T0,2026,5104,42,679,0.5699558173784978,0.5514711998899422,0.6182762628451363,0.591057081071935
T0,2026,5104,43,679,0.5331369661266568,0.5240532527150441,0.6568405210796266,0.5075429826948207
T0,2026,5104,44,679,0.4727540500736377,0.46741852687252083,0.7000544058688435,0.4271528946950134
T0,2026,5104,45,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,46,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,47,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,48,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,49,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,50,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,51,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,52,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,53,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5104,54,679,0.5743740795287187,0.5518285410069914,0.6154132468272028,0.5735756783146468
T0,2026,5104,55,679,0.540500736377025,0.5135937806240699,0.6462661438732681,0.5180504468561651
T0,2026,5104,56,679,0.5125184094256259,0.4894642764493796,0.6842610741223433,0.42938671230633246
T0,2026,5104,57,679,0.5846833578792342,0.5560499469140932,0.6210229890599342,0.5664781755215609
T0,2026,5104,58,679,0.5537555228276878,0.5305049116559977,0.6587285873245596,0.4797273765161728
T0,2026,5104,59,679,0.5022091310751104,0.4966740095876614,0.678510520656611,0.4449049867344601
T0,2026,5104,60,679,0.5787923416789397,0.5634911793168673,0.6344856573748834,0.5651648782301957
T0,2026,5104,61,679,0.5272459499263623,0.5196646377493956,0.6522288040884816,0.5322734431417653
T0,2026,5104,62,679,0.47128129602356406,0.46304036066834786,0.7050173328709357,0.42545171872233906
T0,2026,5105,0,679,0.5655375552282769,0.5401398953971449,0.6185823965362316,0.5781483952448307
T0,2026,5105,1,679,0.5419734904270986,0.5194733092801048,0.653893621948401,0.4987392120568351
T0,2026,5105,2,679,0.5110456553755522,0.4923525222820997,0.686225143772864,0.4235360293965801
T0,2026,5105,3,679,0.5773195876288659,0.5507914388310755,0.6265554673673478,0.5715493216294126
T0,2026,5105,4,679,0.5817378497790869,0.5605473482224108,0.6325207489140782,0.5507168373398064
T0,2026,5105,5,679,0.47569955817378495,0.47395107868648534,0.6970616151113749,0.39087078608011017
T0,2026,5105,6,679,0.5699558173784978,0.5572646956485341,0.6231721631732711,0.5670981716413196
T0,2026,5105,7,679,0.5360824742268041,0.5266143176481287,0.6622875361581263,0.48817907299474916
T0,2026,5105,8,679,0.4639175257731959,0.45524150869139524,0.6945986934938908,0.43457061658900126
T0,2026,5105,9,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,10,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,11,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,12,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,13,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,14,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,15,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,16,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,17,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,18,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,19,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,20,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,21,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,22,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,23,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5105,24,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
